0	1	이디야커피	
1	2	메가엠지씨커피	
2	3	투썸플레이스	
3	4	컴포즈커피	
4	5	빽다방	
5	6	더벤티	
6	7	커피베이	
7	8	커피에반하다	
8	9	요거프레소	
9	10	파스쿠찌	
10	11	나우커피	
11	12	할리스	
12	13	하삼동커피	
13	14	엔제리너스	
14	15	봄봄테이크아웃	
15	16	더리터	
16	17	디저트 39	
17	18	탐앤탐스	
18	19	매머드익스프레스	
19	20	감성커피	
20	21	텐퍼센트스페셜티커피	
21	22	달리는커피	
22	23	카페베네	
23	24	셀렉토커피	
24	25	카페051	
25	26	토프레소	
26	27	벌크커피	
27	28	더카페	
28	29	아마스빈	
29	30	커피마마	
30	31	만랩커피	
31	32	우주라이크	
32	33	청자다방	
33	34	더치앤빈	
34	35	엑스오엑스오 핫도그앤커피	
35	36	카페게이트	
36	37	달.콤	
37	38	Blu Shaak	
38	39	하이오커피	
39	40	핸즈커피	
40	41	COFFEENIE	
41	42	마시그래이	
42	43	뉴욕쟁이디저트	
43	44	반달커피	
44	45	베러먼데이	
45	46	카페띠아모	
46	47	원유로스페셜티커피	
47	48	디에떼에스프레소	
48	49	날쌘카페	
49	50	카페루앤비	
50	51	아임일리터	
51	52	어벤더치커피	
52	53	알리바바	
53	54	오늘도, 카페일리터	
54	55	천씨씨커피	
55	56	베러댄와플	
56	57	크로플 각	
57	58	커피사피엔스	
58	59	봉명동내커피	
59	60	에이바우트커피	
60	61	몬스터커피	
61	62	커스텀커피	
62	63	청솔로9	
63	64	터치카페	
64	65	매머드커피	
65	66	랭스터디카페	
66	67	커피마마퀸	
67	68	커피명가	
68	69	동네커피	
69	70	더웨이닝커피	
70	71	카페코지	
71	72	바빈스	
72	73	발도스커피	
73	74	랑데자뷰	
74	75	카페원플러스원	
75	76	커피나무	
76	77	비엔나커피하우스	
77	78	카페글렌	
78	79	빌리엔젤	
79	80	핑거커피	
80	81	텀브커피	
81	82	아틀리에빈	
82	83	복고다방	
83	84	커피에반하다 스마트카페	
84	85	크레이저커피	
85	86	꿀스커피	
86	87	커피다스1리터	
87	88	커피인류	
88	89	커피왕	
89	90	백금당	
90	91	카페일루이스	
