0	166	3
1	2	3
2	166	2
3	2	1
4	14698	1
5	164	2
6	224	3
7	225	2
8	164	1
9	5	2
10	5	2
11	225	1
12	166	1
13	225	1
14	224	3
15	225	2
16	225	1
17	225	1
18	5	2
19	164	1
20	14698	2
21	14698	3
22	166	3
23	5	1
24	166	3
25	164	1
26	5	2
27	166	2
28	2	2
29	5	2
30	224	2
31	5	2
32	166	1
33	224	2
34	164	3
35	166	3
36	224	3
37	225	3
38	166	2
39	5	2
40	225	2
41	14698	2
42	225	3
43	224	1
44	14698	2
45	164	2
46	166	1
47	2	1
48	225	2
49	5	3
50	225	2
51	5	3
52	14698	3
53	166	3
54	5	3
55	2	2
56	166	3
57	166	2
58	14698	3
59	14698	1
60	224	1
61	225	3
62	166	2
63	164	3
64	166	3
65	225	2
66	164	3
67	5	2
68	5	1
69	5	2
70	164	3
71	2	3
72	5	2
73	164	1
74	225	3
75	164	1
76	5	1
77	5	3
78	164	3
79	166	3
80	5	1
81	225	2
82	2	3
83	14698	3
84	166	1
85	166	2
86	5	3
87	5	3
88	164	2
89	225	3
90	224	3
91	224	3
92	166	2
93	166	1
94	225	3
95	166	3
96	224	1
97	164	1
98	164	2
99	166	1
100	2	2
101	14698	1
102	224	2
103	14698	3
104	166	3
105	225	3
106	14509	3
107	225	1
108	2	3
109	0	3
110	0	3
111	224	1
112	225	3
113	14508	2
114	2	2
115	225	1
116	225	1
117	14509	3
118	14508	1
119	14508	3
120	0	1
121	224	1
122	224	3
123	224	1
124	2	3
125	224	3
126	224	2
127	225	3
128	0	1
129	2	3
130	225	1
131	225	1
132	224	1
133	224	2
134	14508	2
135	225	3
136	14698	3
137	14509	1
138	2	2
139	14509	1
140	225	3
141	14508	1
142	224	1
143	14509	1
144	14508	1
145	224	2
146	225	1
147	2	3
148	224	1
149	0	3
150	224	2
151	224	2
152	14698	2
153	14698	2
154	14509	3
155	14509	1
156	14508	2
157	0	1
158	14509	1
159	0	2
160	224	2
161	225	2
162	14509	2
163	0	3
164	14509	3
165	14698	2
166	14508	2
167	2	2
168	14508	3
169	0	3
170	225	3
171	14509	1
172	224	2
173	14508	1
174	0	1
175	14698	3
176	0	3
177	224	2
178	14509	3
179	0	3
180	224	2
181	0	1
182	14509	2
183	0	3
184	226	2
185	225	3
186	15	2
187	15	2
188	18	1
189	15	3
190	18	2
191	225	1
192	14509	1
193	14508	3
194	226	2
195	14509	2
196	15	3
197	18	1
198	14508	2
199	14509	3
200	225	1
201	0	2
202	15	3
203	18	1
204	14508	1
205	225	3
206	225	2
207	15	3
208	14508	1
209	0	3
210	14509	2
211	225	1
212	225	1
213	18	2
214	14509	1
215	225	1
216	14509	2
217	226	3
218	18	1
219	14509	1
220	14509	3
221	15	1
222	0	3
223	14509	3
224	18	1
225	14508	1
226	14508	1
227	14508	1
228	14509	2
229	226	1
230	225	2
231	18	2
232	14509	3
233	0	3
234	226	3
235	0	2
236	0	2
237	14508	1
238	0	1
239	14508	3
240	18	1
241	225	1
242	18	2
243	15	3
244	14509	3
245	226	3
246	225	3
247	18	3
248	14509	2
249	226	3
250	0	3
251	18	2
252	225	1
253	18	2
254	225	3
255	0	2
256	225	2
257	225	2
258	18	3
259	18	2
260	15	1
261	14508	1
262	225	1
263	226	1
264	14509	1
265	225	1
266	15	3
267	14509	1
268	0	3
269	0	1
270	0	1
271	0	2
272	225	3
273	226	1
274	226	2
275	14508	3
276	14508	1
277	14508	3
278	226	2
279	14508	3
280	14508	1
281	14509	2
282	15	3
283	226	2
284	15	3
285	226	3
286	62292	3
287	3032	3
288	62292	2
289	15	1
290	62292	2
291	3032	2
292	15	2
293	15	2
294	62292	2
295	18	3
296	62292	2
297	62292	2
298	18	1
299	18	1
300	20	1
301	62292	2
302	62292	2
303	20	3
304	62292	2
305	18	2
306	0	2
307	15	3
308	20	3
309	226	2
310	18	1
311	226	2
312	0	2
313	62292	1
314	0	2
315	0	2
316	15	2
317	18	2
318	226	1
319	226	2
320	3032	2
321	15	1
322	15	2
323	62292	1
324	62292	3
325	0	1
326	226	2
327	3032	1
328	226	1
329	226	1
330	20	2
331	3032	2
332	62292	2
333	18	2
334	62292	3
335	62292	2
336	226	1
337	20	3
338	20	3
339	18	2
340	15	1
341	226	3
342	0	3
343	0	2
344	62292	2
345	62292	1
346	15	1
347	15	1
348	18	1
349	15	1
350	62292	3
351	18	1
352	3032	1
353	226	1
354	226	1
355	62292	1
356	226	2
357	20	1
358	62292	2
359	20	1
360	0	3
361	3032	3
362	14	1
363	14	2
364	161	1
365	3032	1
366	3032	1
367	3032	1
368	161	1
369	18	1
370	161	2
371	161	3
372	18	3
373	6	1
374	62292	3
375	18	3
376	62292	2
377	3032	3
378	20	3
379	6	2
380	161	2
381	3032	1
382	3032	2
383	161	3
384	62292	3
385	62292	3
386	18	1
387	3032	2
388	14	3
389	18	3
390	3032	2
391	20	3
392	161	3
393	18	2
394	14	1
395	6	3
396	3032	3
397	14	1
398	62292	3
399	14	1
400	20	3
401	161	1
402	161	3
403	6	2
404	20	1
405	18	1
406	161	3
407	3032	2
408	161	3
409	18	2
410	20	2
411	3032	1
412	6	1
413	14	1
414	20	2
415	14	1
416	62292	2
417	6	2
418	18	2
419	161	3
420	6	1
421	62292	1
422	14	1
423	161	1
424	3032	1
425	6	1
426	18	2
427	161	1
428	6	2
429	161	1
430	20	1
431	6	2
432	161	3
433	3032	1
434	18	2
435	161	1
436	14	3
437	62292	1
438	3032	3
439	3032	3
440	6	3
441	3032	3
442	161	3
443	62292	3
444	6	1
445	3032	2
446	6	2
447	20	3
448	20	3
449	6	1
450	20	1
451	3032	3
452	20	1
453	6	3
454	6	1
455	18	2
456	6	1
457	18	2
458	62292	2
459	18	2
460	62292	2
461	14	3
462	3032	1
463	14	1
464	62292	3
465	161	2
466	6	1
467	161	3
468	14	1
469	24990	2
470	24993	1
